data,horaEntrada,hora,minuto,tempogasto,HoraSaida,usouVoucher
1/3/2023,10:10:00,10,10,40,10:50:00,1
1/3/2023,18:17:00,18,17,17,18:34:00,0
1/3/2023,12:06:00,12,6,42,12:48:00,0
1/3/2023,11:59:00,11,59,12,12:11:00,1
1/3/2023,19:23:00,19,23,14,19:37:00,0
1/3/2023,17:42:00,17,42,22,18:04:00,0
1/3/2023,17:43:00,17,43,13,17:56:00,0
1/3/2023,07:36:00,7,36,11,07:47:00,0
1/3/2023,15:35:00,15,35,6,15:41:00,0
1/3/2023,20:37:00,20,37,17,20:54:00,0
1/3/2023,15:09:00,15,9,25,15:34:00,0
1/3/2023,10:24:00,10,24,45,11:09:00,1
1/3/2023,15:06:00,15,6,10,15:16:00,1
1/3/2023,12:57:00,12,57,10,13:07:00,0
1/3/2023,20:51:00,20,51,42,21:33:00,1
1/3/2023,19:35:00,19,35,11,19:46:00,0
1/3/2023,20:32:00,20,32,31,21:03:00,0
1/3/2023,10:14:00,10,14,29,10:43:00,0
1/3/2023,10:43:00,10,43,18,11:01:00,1
1/3/2023,16:23:00,16,23,4,16:27:00,0
1/3/2023,18:23:00,18,23,7,18:30:00,1
1/3/2023,17:45:00,17,45,35,18:20:00,1
1/3/2023,15:55:00,15,55,6,16:01:00,0
1/3/2023,11:23:00,11,23,34,11:57:00,1
1/3/2023,15:27:00,15,27,44,16:11:00,0
1/3/2023,12:42:00,12,42,39,13:21:00,1
1/3/2023,10:58:00,10,58,36,11:34:00,1
1/3/2023,19:46:00,19,46,10,19:56:00,0
1/3/2023,08:11:00,8,11,41,08:52:00,1
1/3/2023,21:50:00,21,50,8,21:58:00,0
1/3/2023,16:47:00,16,47,24,17:11:00,1
1/3/2023,08:36:00,8,36,19,08:55:00,0
1/3/2023,17:57:00,17,57,36,18:33:00,0
1/3/2023,14:34:00,14,34,11,14:45:00,1
1/3/2023,12:29:00,12,29,7,12:36:00,0
1/3/2023,19:34:00,19,34,19,19:53:00,0
1/3/2023,18:56:00,18,56,7,19:03:00,1
1/3/2023,15:43:00,15,43,19,16:02:00,1
1/3/2023,10:39:00,10,39,39,11:18:00,0
1/3/2023,15:39:00,15,39,39,16:18:00,0
1/3/2023,14:00:00,14,0,30,14:30:00,0
1/3/2023,19:27:00,19,27,18,19:45:00,1
1/3/2023,15:33:00,15,33,16,15:49:00,0
1/3/2023,18:24:00,18,24,28,18:52:00,0
1/3/2023,21:08:00,21,8,40,21:48:00,1
1/3/2023,09:54:00,9,54,45,10:39:00,0
