hora_entrada,permanencia
2023-03-13 08:15:03.125890,14
2023-03-13 08:15:56.828889,28
2023-03-13 08:17:43.397389,23
2023-03-13 08:18:23.504707,25
2023-03-13 08:18:26.604436,16
2023-03-13 08:19:28.080251,24
2023-03-13 08:19:54.998022,38
2023-03-13 08:20:50.448296,18
2023-03-13 08:20:51.299927,39
2023-03-13 08:21:11.671458,21
2023-03-13 08:22:03.873810,40
2023-03-13 08:22:44.539196,16
2023-03-13 08:23:02.355413,24
2023-03-13 08:23:56.508051,33
2023-03-13 08:25:01.025381,46
2023-03-13 08:27:08.595454,31
2023-03-13 08:27:40.945074,17
2023-03-13 08:28:42.737199,35
2023-03-13 08:31:03.435211,16
2023-03-13 08:31:09.115120,33
2023-03-13 08:31:39.917473,24
2023-03-13 08:31:44.551339,17
2023-03-13 08:31:47.468280,26
2023-03-13 08:32:06.091555,17
2023-03-13 08:33:03.434259,8
2023-03-13 08:33:03.584405,30
2023-03-13 08:34:17.278081,21
2023-03-13 08:34:26.140152,29
2023-03-13 08:35:37.411852,29
2023-03-13 08:37:36.172888,27
2023-03-13 08:37:36.636055,41
2023-03-13 08:41:38.724638,12
2023-03-13 08:42:34.992239,32
2023-03-13 08:42:39.370792,16
2023-03-13 08:43:22.706429,27
2023-03-13 08:43:43.887056,23
2023-03-13 08:43:54.796117,26
2023-03-13 08:44:22.913370,33
2023-03-13 08:47:27.040398,31
2023-03-13 08:47:39.763878,21
2023-03-13 08:49:10.854288,10
2023-03-13 08:49:28.856603,36
2023-03-13 08:50:34.075672,33
2023-03-13 08:51:05.590907,28
2023-03-13 08:53:48.418411,30
2023-03-13 08:54:00.089904,41
2023-03-13 08:54:42.010107,14
2023-03-13 08:55:43.166431,17
2023-03-13 08:55:45.925635,18
2023-03-13 08:56:45.626454,21
2023-03-13 08:56:54.620332,19
2023-03-13 08:57:53.961394,25
2023-03-13 08:58:15.332410,31
2023-03-13 08:58:40.559417,35
2023-03-13 08:58:47.465414,35
2023-03-13 08:59:12.127167,20
2023-03-13 08:59:14.516097,18
2023-03-13 09:00:01.737388,9
2023-03-13 09:00:23.385304,28
2023-03-13 09:01:59.178778,30
2023-03-13 09:02:32.197370,26
2023-03-13 09:02:56.273532,47
2023-03-13 09:03:45.163635,19
2023-03-13 09:04:18.853313,23
2023-03-13 09:05:43.028284,35
2023-03-13 09:05:51.808341,10
2023-03-13 09:05:51.966587,38
2023-03-13 09:06:12.167945,7
2023-03-13 09:06:57.788125,14
2023-03-13 09:09:59.998500,24
2023-03-13 09:10:05.832813,14
2023-03-13 09:11:13.386186,11
2023-03-13 09:12:34.968626,15
2023-03-13 09:12:59.411359,24
2023-03-13 09:13:00.637920,29
2023-03-13 09:13:26.545579,24
2023-03-13 09:13:27.488104,32
2023-03-13 09:13:40.941993,17
2023-03-13 09:13:53.792477,29
2023-03-13 09:15:03.265210,44
2023-03-13 09:15:34.436976,21
2023-03-13 09:16:09.765115,9
2023-03-13 09:16:34.563105,8
2023-03-13 09:16:35.209406,27
2023-03-13 09:18:39.737215,26
2023-03-13 09:20:39.561002,39
2023-03-13 09:21:04.141420,20
2023-03-13 09:21:07.652844,20
2023-03-13 09:23:18.077292,49
2023-03-13 09:24:45.781199,13
2023-03-13 09:26:24.057392,17
2023-03-13 09:27:43.911391,32
2023-03-13 09:28:14.812270,23
2023-03-13 09:30:10.604922,29
2023-03-13 09:31:04.835495,17
2023-03-13 09:31:35.102423,27
2023-03-13 09:33:15.710032,15
2023-03-13 09:33:31.752230,19
2023-03-13 09:33:57.593924,20
2023-03-13 09:34:11.427794,22
2023-03-13 09:35:54.435261,19
2023-03-13 09:36:08.035645,22
2023-03-13 09:38:06.117727,5
2023-03-13 09:38:40.466289,30
2023-03-13 09:39:04.550325,19
2023-03-13 09:40:49.416460,13
2023-03-13 09:41:27.461590,18
2023-03-13 09:44:47.316197,9
2023-03-13 09:45:19.522153,30
2023-03-13 09:46:18.445428,29
2023-03-13 09:47:48.021964,30
2023-03-13 09:48:26.788871,33
2023-03-13 09:49:18.504965,24
2023-03-13 09:49:42.338964,8
2023-03-13 09:49:47.088793,11
2023-03-13 09:50:21.745446,16
2023-03-13 09:50:33.301860,34
2023-03-13 09:50:34.438313,13
2023-03-13 09:51:00.090860,31
2023-03-13 09:51:49.234944,30
2023-03-13 09:52:14.575359,19
2023-03-13 09:52:33.542555,22
2023-03-13 09:53:37.067968,28
2023-03-13 09:55:56.608639,30
2023-03-13 09:56:01.255356,17
2023-03-13 09:56:32.170764,10
2023-03-13 09:56:48.794283,23
2023-03-13 09:57:36.772597,7
2023-03-13 09:58:04.999456,32
2023-03-13 09:58:28.839436,23
2023-03-13 09:58:46.611900,46
2023-03-13 09:59:15.091926,21
2023-03-13 09:59:36.580127,23
2023-03-13 09:59:57.733171,19
2023-03-13 10:00:08.251363,39
2023-03-13 10:00:15.664301,18
2023-03-13 10:00:58.417798,30
2023-03-13 10:01:00.455622,26
2023-03-13 10:01:40.526870,27
2023-03-13 10:03:39.011194,13
2023-03-13 10:04:53.507353,14
2023-03-13 10:06:45.903660,40
2023-03-13 10:07:37.646610,28
2023-03-13 10:12:02.326365,22
2023-03-13 10:13:31.969287,36
2023-03-13 10:14:22.319053,25
2023-03-13 10:21:34.593629,11
2023-03-13 10:21:49.555481,26
2023-03-13 10:22:04.461341,25
2023-03-13 10:22:33.388130,29
2023-03-13 10:25:04.382496,33
2023-03-13 10:26:03.939587,20
2023-03-13 10:31:20.067124,24
2023-03-13 10:31:20.477765,25
2023-03-13 10:31:20.924198,31
2023-03-13 10:31:22.176599,20
2023-03-13 10:35:13.961047,16
2023-03-13 10:36:38.725206,40
2023-03-13 10:36:50.424063,33
2023-03-13 10:37:00.615748,13
2023-03-13 10:37:48.545074,32
2023-03-13 10:38:15.188298,29
2023-03-13 10:39:02.838673,15
2023-03-13 10:39:39.341006,17
2023-03-13 10:42:49.537293,14
2023-03-13 10:43:55.148639,40
2023-03-13 10:45:47.938477,16
2023-03-13 10:45:55.609614,41
2023-03-13 10:47:29.992115,36
2023-03-13 10:48:14.897727,37
2023-03-13 10:48:57.424476,37
2023-03-13 10:49:06.731840,24
2023-03-13 10:49:42.880913,9
2023-03-13 10:51:34.174673,28
2023-03-13 10:51:38.317725,24
2023-03-13 10:51:54.420020,22
2023-03-13 10:51:54.485102,20
2023-03-13 10:51:55.906508,31
2023-03-13 10:52:44.410434,5
2023-03-13 10:52:48.070150,28
2023-03-13 10:54:02.953754,14
2023-03-13 10:54:22.051848,38
2023-03-13 10:55:09.908605,20
2023-03-13 10:56:34.728720,29
2023-03-13 10:57:13.118054,28
2023-03-13 10:57:35.778985,28
2023-03-13 10:58:23.557441,16
2023-03-13 11:00:03.734646,15
2023-03-13 11:00:53.195860,8
2023-03-13 11:01:56.613140,10
2023-03-13 11:03:00.000000,18
2023-03-13 11:03:00.000000,26
2023-03-13 11:03:00.000000,24
2023-03-13 11:03:00.000000,24
2023-03-13 11:03:53.369716,27
2023-03-13 11:03:56.932437,40
2023-03-13 11:04:00.000000,20
2023-03-13 11:04:14.753407,18
2023-03-13 11:04:26.315370,34
2023-03-13 11:05:00.000000,24
2023-03-13 11:05:16.107197,24
2023-03-13 11:06:11.292509,26
2023-03-13 11:07:00.000000,32
2023-03-13 11:07:00.000000,23
2023-03-13 11:07:02.671184,30
2023-03-13 11:07:20.358115,10
2023-03-13 11:07:50.056892,32
2023-03-13 11:07:52.690477,30
2023-03-13 11:09:39.417145,27
2023-03-13 11:09:53.599783,34
2023-03-13 11:09:54.453426,17
2023-03-13 11:10:31.465005,26
2023-03-13 11:10:37.428925,28
2023-03-13 11:11:00.000000,32
2023-03-13 11:11:00.000000,32
2023-03-13 11:11:27.417687,36
2023-03-13 11:12:00.000000,23
2023-03-13 11:14:20.561666,32
2023-03-13 11:14:22.352501,23
2023-03-13 11:14:26.551758,30
2023-03-13 11:15:00.000000,15
2023-03-13 11:17:00.853588,27
2023-03-13 11:17:42.513013,27
2023-03-13 11:18:00.000000,24
2023-03-13 11:18:25.655804,28
2023-03-13 11:18:31.481740,26
2023-03-13 11:19:16.693069,45
2023-03-13 11:19:27.412615,11
2023-03-13 11:19:37.460432,21
2023-03-13 11:19:58.153583,35
2023-03-13 11:20:00.000000,25
2023-03-13 11:20:00.000000,37
2023-03-13 11:20:01.821233,27
2023-03-13 11:20:28.372227,22
2023-03-13 11:21:00.000000,24
2023-03-13 11:21:00.802946,21
2023-03-13 11:21:28.444667,48
2023-03-13 11:22:57.011339,12
2023-03-13 11:22:57.169909,30
2023-03-13 11:23:28.250477,27
2023-03-13 11:24:00.000000,18
2023-03-13 11:24:34.978099,36
2023-03-13 11:25:00.000000,20
2023-03-13 11:25:33.937015,22
2023-03-13 11:26:00.000000,36
2023-03-13 11:26:00.000000,18
2023-03-13 11:26:03.123009,7
2023-03-13 11:27:21.351480,16
2023-03-13 11:29:00.000000,19
2023-03-13 11:29:40.560157,16
2023-03-13 11:29:42.662201,21
2023-03-13 11:30:00.000000,23
2023-03-13 11:31:00.000000,23
2023-03-13 11:31:01.406096,38
2023-03-13 11:31:29.745468,17
2023-03-13 11:31:56.108899,29
2023-03-13 11:32:00.000000,27
2023-03-13 11:32:06.005337,24
2023-03-13 11:32:17.929524,16
2023-03-13 11:33:00.000000,18
2023-03-13 11:33:26.001626,24
2023-03-13 11:33:31.139804,23
2023-03-13 11:37:29.154788,22
2023-03-13 11:38:00.000000,22
2023-03-13 11:38:00.000000,23
2023-03-13 11:38:04.361161,38
2023-03-13 11:38:21.335406,29
2023-03-13 11:39:00.000000,20
2023-03-13 11:39:00.000000,16
2023-03-13 11:39:00.000000,19
2023-03-13 11:39:20.569886,36
2023-03-13 11:39:37.761723,37
2023-03-13 11:40:00.000000,38
2023-03-13 11:40:30.228379,10
2023-03-13 11:40:59.022085,27
2023-03-13 11:42:00.000000,36
2023-03-13 11:42:05.330891,30
2023-03-13 11:42:15.165367,38
2023-03-13 11:42:26.473983,44
2023-03-13 11:42:35.871633,32
2023-03-13 11:42:50.960167,28
2023-03-13 11:43:00.000000,31
2023-03-13 11:43:21.641602,36
2023-03-13 11:44:00.000000,12
2023-03-13 11:44:36.588968,28
2023-03-13 11:45:00.000000,21
2023-03-13 11:45:03.504679,36
2023-03-13 11:45:06.907246,15
2023-03-13 11:45:57.081561,25
2023-03-13 11:46:00.000000,32
2023-03-13 11:47:00.000000,33
2023-03-13 11:47:00.000000,29
2023-03-13 11:47:27.401580,38
2023-03-13 11:48:00.000000,34
2023-03-13 11:48:29.256214,10
2023-03-13 11:48:30.195467,15
2023-03-13 11:48:51.740586,25
2023-03-13 11:49:14.570389,17
2023-03-13 11:49:28.207958,48
2023-03-13 11:50:00.000000,25
2023-03-13 11:51:00.000000,35
2023-03-13 11:51:43.645417,14
2023-03-13 11:52:03.905628,28
2023-03-13 11:52:28.167849,20
2023-03-13 11:52:32.081319,28
2023-03-13 11:52:57.845350,7
2023-03-13 11:53:11.696442,22
2023-03-13 11:54:07.948382,34
2023-03-13 11:55:00.000000,34
2023-03-13 11:55:00.000000,34
2023-03-13 11:56:00.000000,21
2023-03-13 11:56:19.839478,21
2023-03-13 11:57:36.370349,23
2023-03-13 11:58:00.000000,18
2023-03-13 11:58:00.000000,34
2023-03-13 11:58:14.643442,31
2023-03-13 11:58:31.411426,25
2023-03-13 11:59:00.000000,14
2023-03-13 11:59:00.000000,29
2023-03-13 11:59:00.000000,22
2023-03-13 11:59:09.863738,15
2023-03-13 12:00:00.000000,13
2023-03-13 12:00:21.099388,14
2023-03-13 12:00:30.765997,13
2023-03-13 12:00:30.940629,6
2023-03-13 12:00:35.029975,31
2023-03-13 12:00:47.509830,34
2023-03-13 12:01:31.725527,16
2023-03-13 12:02:00.000000,20
2023-03-13 12:02:00.000000,20
2023-03-13 12:02:39.415902,24
2023-03-13 12:02:50.401566,12
